TAX CLASS AT PRESENT,ZIP CODE,YEAR BUILT,SALE PRICE,SALE DATE
2,10007,2008.0,9300000,2020-08-12
2,10007,2008.0,0,2021-01-01
2,10007,1931.0,3125000,2021-03-10
2,10007,1930.0,0,2020-08-10
2,10007,1930.0,1475000,2020-11-12
2,10007,1930.0,1750000,2021-01-05
2,10007,1930.0,2167500,2020-12-11
2,10007,1930.0,0,2021-01-13
2,10007,1930.0,1980000,2021-02-09
2,10007,1910.0,4450000,2021-03-15
2,10007,1910.0,1075000,2020-06-03
2,10007,1910.0,2200000,2021-03-22
2,10007,1910.0,2850000,2020-06-04
2,10007,1910.0,0,2020-10-11
2,10007,1910.0,0,2020-11-14
2,10007,1900.0,10,2020-12-30
2,10007,1900.0,0,2020-12-16
2,10007,2017.0,3275000,2021-01-21
2,10007,2017.0,3265000,2020-09-10
2,10007,2017.0,4853200,2020-10-20
2,10007,2017.0,7300000,2020-09-09
2,10013,1920.0,0,2020-11-24
2,10013,1915.0,2775000,2021-03-05
2,10013,1915.0,2150000,2021-02-10
2,10007,2009.0,2601638,2021-03-18
2,10007,2010.0,0,2020-10-31
2,10007,2010.0,1882500,2021-02-03
2,10007,2010.0,1500000,2021-01-29
2,10007,2010.0,2650000,2020-12-08
2,10007,2010.0,0,2020-04-17
2,10007,1915.0,3850000,2021-02-17
2,10007,1910.0,2800000,2021-02-26
2,10007,1910.0,2900000,2020-10-22
2,10007,1910.0,3500000,2020-06-12
2,10007,1910.0,2760000,2021-03-02
2,10007,1910.0,2850000,2021-03-29
2,10007,1910.0,2025000,2020-07-08
2,10007,1910.0,2020000,2020-12-21
2,10007,1910.0,2090000,2020-11-19
2,10007,1910.0,0,2021-03-23
2,10007,1910.0,3300000,2021-02-02
2,10007,1910.0,4995000,2020-11-20
2,10007,1910.0,1781938,2020-12-28
2,10007,1910.0,0,2020-12-29
2,10007,1910.0,1500000,2021-03-26
2,10007,1910.0,1300000,2021-01-07
2,10007,1910.0,1650000,2020-07-14
2,10007,1910.0,1790000,2020-06-05
2,10007,1910.0,1669930,2021-02-19
2,10007,1910.0,2036500,2020-10-29
2,10007,1910.0,2270000,2020-05-15
2,10013,1900.0,1869364,2021-01-29
2,10013,1900.0,2119955,2020-04-23
2,10013,1900.0,3601655,2020-07-01
2,10013,1900.0,1762718,2020-04-02
2,10013,1900.0,2758445,2021-01-29
2,10013,1900.0,1733180,2021-01-29
2,10013,1900.0,3245000,2020-11-20
2,10013,1900.0,4590977,2021-01-04
2,10013,1900.0,2896563,2020-04-24
2,10013,1900.0,2875609,2020-12-03
2,10013,1900.0,2296853,2020-05-29
2,10013,1900.0,3951119,2020-09-21
2,10013,1900.0,1865318,2020-07-28
2,10013,1900.0,1641229,2020-10-16
2,10013,1900.0,1632062,2020-10-13
2,10013,1900.0,3518547,2020-08-21
2,10013,1900.0,1820960,2020-05-28
2,10013,1900.0,2845902,2020-04-22
2,10013,1900.0,6426357,2020-09-09
2,10013,1900.0,4320908,2020-09-11
2,10013,1900.0,1801967,2020-04-15
2,10013,1900.0,2850000,2020-05-01
2,10013,1924.0,2250000,2020-12-16
2,10013,1924.0,0,2020-08-04
2,10013,1924.0,3150000,2020-04-22
2,10013,1920.0,0,2021-03-18
2,10013,1915.0,5625000,2021-01-22
2,10013,2018.0,757500,2020-09-17
2,10013,2018.0,395800,2020-12-28
2,10013,2018.0,2199000,2020-11-24
2,10013,2018.0,2400000,2020-08-31
2,10013,2018.0,2643900,2021-01-11
