TAX CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,10469,2.0,2.0,1950.0,1512.0,1950.0,1,490000,2021-01-29
1,10466,2.0,2.0,1767.0,1806.0,1950.0,1,649000,2020-11-25
1,10466,2.0,2.0,2500.0,2850.0,1960.0,1,0,2020-07-22
1,10466,2.0,2.0,1936.0,1905.0,1950.0,1,158184,2021-03-22
1,10466,2.0,2.0,1934.0,2082.0,1950.0,1,0,2020-06-15
1,10466,2.0,2.0,2842.0,1840.0,1964.0,1,560038,2020-04-17
1,10466,2.0,2.0,3525.0,3174.0,1964.0,1,900000,2020-09-30
1,10466,2.0,2.0,2508.0,2310.0,1960.0,1,750000,2020-11-12
1,10466,2.0,2.0,2088.0,2400.0,1996.0,1,0,2021-01-12
1,10466,2.0,2.0,3019.0,2146.0,1995.0,1,749000,2021-01-14
1,10466,2.0,2.0,2009.0,2200.0,1997.0,1,0,2020-06-02
1,10466,2.0,2.0,2863.0,2400.0,1996.0,1,510000,2020-07-09
1,10466,2.0,2.0,2009.0,2200.0,1996.0,1,710000,2020-12-07
1,10466,2.0,2.0,3907.0,2200.0,1996.0,1,0,2021-02-04
1,10466,2.0,2.0,1457.0,2721.0,2006.0,1,0,2020-07-17
1,10466,2.0,2.0,1938.0,3028.0,2010.0,1,795000,2020-12-14
1,10466,2.0,2.0,2004.0,2570.0,1966.0,1,0,2021-01-05
1,10466,2.0,2.0,1830.0,1900.0,1964.0,1,374325,2020-12-02
1,10466,2.0,2.0,2640.0,1890.0,1964.0,1,785000,2020-12-24
1,10466,2.0,2.0,3440.0,2620.0,1965.0,1,764000,2020-06-23
1,10466,2.0,2.0,2574.0,2166.0,1996.0,1,670000,2021-03-26
1,10466,2.0,2.0,2193.0,2370.0,1999.0,1,0,2020-07-16
1,10466,2.0,2.0,1221.0,1683.0,1965.0,1,688000,2020-11-24
1,10466,2.0,2.0,1710.0,1872.0,1959.0,1,335000,2021-01-29
1,10466,2.0,2.0,1710.0,1728.0,1962.0,1,800000,2020-10-05
1,10466,2.0,2.0,1710.0,1672.0,1959.0,1,540000,2020-10-02
1,10466,2.0,2.0,2132.0,1728.0,1961.0,1,575000,2020-05-05
1,10466,2.0,2.0,2770.0,2950.0,1973.0,1,0,2020-04-09
1,10466,2.0,2.0,7125.0,2250.0,1932.0,1,590000,2020-08-11
